Month,Peak Players
July 2012,75041
August 2012,108689
September 2012,118724
October 2012,171860
November 2012,169631
December 2012,213521
January 2013,260989
February 2013,283870
March 2013,325598
April 2013,299667
May 2013,325815
June 2013,326160
July 2013,422617
August 2013,520532
September 2013,566715
October 2013,581615
November 2013,702792
December 2013,685503
January 2014,673496
February 2014,738682
March 2014,698197
April 2014,734998
May 2014,843024
June 2014,833145
July 2014,874975
August 2014,774319
September 2014,864261
October 2014,880655
November 2014,963810
December 2014,936583
January 2015,961737
February 2015,1262612
March 2015,1213940
April 2015,929677
May 2015,967674
June 2015,913997
July 2015,877264
August 2015,933942
September 2015,888728
October 2015,917306
November 2015,943635
December 2015,999452
January 2016,1067949
February 2016,1248394
March 2016,1291328
April 2016,1164041
May 2016,1075307
June 2016,1095994
July 2016,1084198
August 2016,1117519
September 2016,1064377
October 2016,1141191
November 2016,1007270
December 2016,1014671
January 2017,1007451
February 2017,1040877
March 2017,956232
April 2017,921318
May 2017,972876
June 2017,923122
July 2017,824297
August 2017,876395
September 2017,829555
October 2017,832550
November 2017,861173
December 2017,864939
January 2018,778627
February 2018,779299
March 2018,773897
April 2018,733214
May 2018,844713
June 2018,796886
July 2018,701582
August 2018,829281
September 2018,826166
October 2018,739643
November 2018,826053
December 2018,765422
January 2019,874888
February 2019,964921
March 2019,1033925
April 2019,971545
May 2019,997341
June 2019,865374
July 2019,779160
August 2019,826690
September 2019,753996
October 2019,739924
November 2019,708517
December 2019,685165
January 2020,616415
February 2020,663812
March 2020,743933
April 2020,801121
May 2020,793135
June 2020,733294
July 2020,712610
August 2020,666138
September 2020,670547
October 2020,723280
November 2020,711824
December 2020,697833
January 2021,694613
February 2021,651615
March 2021,648875
April 2021,705534
May 2021,672307
June 2021,734277
July 2021,707406
August 2021,699613
September 2021,666838
October 2021,752482
November 2021,747506
December 2021,756170
January 2022,786118
February 2022,725851
March 2022,740784
April 2022,730168
May 2022,691586
June 2022,699592
July 2022,684842
August 2022,747231
September 2022,867484
October 2022,1038848
November 2022,990057
December 2022,827395
January 2023,764490
February 2023,680746
March 2023,752617
April 2023,809580
May 2023,711816
June 2023,679525
July 2023,702381
August 2023,855495
September 2023,777466
October 2023,780443
November 2023,767353
December 2023,802728
January 2024,736488
February 2024,741290
March 2024,729865
April 2024,921133
May 2024,943059
June 2024,869492
July 2024,801126
August 2024,734381
September 2024,726385
October 2024,706726
November 2024,797599
December 2024,744163
January 2025,719825
February 2025,708043
